Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹1 Cr,"₹2,530/month","₹30,362 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹1 Cr,"₹2,561/month","₹30,733 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹1 Cr,"₹2,561/month","₹30,733 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Prime,15,₹1 Cr,"₹1,843/month","₹22,120 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹1 Cr,"₹2,325/month","₹27,901 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹1 Cr,"₹1,273/month","₹15,279 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹1 Cr,"₹1,291/month","₹15,492 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹1 Cr,"₹1,267/month","₹15,208 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹1 Cr,"₹2,307/month","₹27,688 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹1 Cr,"₹2,301/month","₹27,617 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹1 Cr,"₹1,583/month","₹18,991 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹1 Cr,"₹5,641/month","₹67,695 / Year",92 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹1 Cr,"₹1,832/month","₹21,983 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹1 Cr,"₹1,889/month","₹22,668 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹1 Cr,"₹2,098/month","₹25,181 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹1 Cr,"₹1,908/month","₹22,892 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹1 Cr,"₹1,965/month","₹23,576 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹1 Cr,"₹2,174/month","₹26,090 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹1 Cr,"₹2,211/month","₹26,526 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹1 Cr,"₹2,268/month","₹27,211 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹1 Cr,"₹2,477/month","₹29,724 / Year",96 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹1 Cr,"₹1,613/month","₹19,352 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹1 Cr,"₹1,932/month","₹23,189 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹1 Cr,"₹3,447/month","₹41,360 / Year",96 % claim settlement ratio
