Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹15 Lac,"₹1,320/month","₹15,840 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Power,15,₹15 Lac,₹941/month,"₹11,286 / Year",99.90 % claim settlement ratio
Reliance,Health Gain Prime,15,₹25 Lac,"₹1,163/month","₹13,952 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Supreme Plus,16,₹15 Lac,"₹1,292/month","₹15,498 / Year",94 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Total,16,₹15 Lac,₹991/month,"₹11,887 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Edge,16,₹15 Lac,"₹1,096/month","₹13,149 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Elite,16,₹15 Lac,"₹1,234/month","₹14,810 / Year",97 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹15 Lac,"₹1,559/month","₹18,702 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹15 Lac,"₹1,104/month","₹13,247 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹25 Lac,"₹3,301/month","₹39,617 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹15 Lac,"₹1,696/month","₹20,354 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹15 Lac,"₹1,353/month","₹16,237 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹15 Lac,"₹1,410/month","₹16,921 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹15 Lac,"₹1,621/month","₹19,446 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹15 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Premier,20,₹25 Lac,"₹1,727/month","₹20,721 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹15 Lac,"₹1,404/month","₹16,850 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹15 Lac,"₹1,461/month","₹17,535 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹15 Lac,"₹1,672/month","₹20,060 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹15 Lac,"₹1,614/month","₹19,364 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹15 Lac,"₹1,671/month","₹20,048 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹15 Lac,"₹1,881/month","₹22,573 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹15 Lac,"₹1,339/month","₹16,072 / Year",98.90 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹15 Lac,"₹1,059/month","₹12,707 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹15 Lac,"₹1,269/month","₹15,226 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹15 Lac,"₹1,450/month","₹17,403 / Year",96 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹15 Lac,"₹1,135/month","₹13,617 / Year",90 % claim settlement ratio
