Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹10 Lac,"₹1,154/month","₹13,850 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹10 Lac,"₹1,120/month","₹13,442 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹10 Lac,"₹1,577/month","₹18,920 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹10 Lac,"₹1,611/month","₹19,328 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Supreme Plus,16,₹10 Lac,"₹1,112/month","₹13,342 / Year",94 % claim settlement ratio
Cholamandalam MS,Flexi Health Individual,16,₹10 Lac,"₹1,102/month","₹13,224 / Year",94 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Total,16,₹10 Lac,₹918/month,"₹11,010 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Edge,16,₹10 Lac,"₹1,023/month","₹12,274 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Elite,16,₹10 Lac,"₹1,157/month","₹13,880 / Year",97 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹10 Lac,"₹1,265/month","₹15,177 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹10 Lac,"₹1,043/month","₹12,510 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹10 Lac,"₹1,549/month","₹18,584 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹10 Lac,"₹1,028/month","₹12,331 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹10 Lac,"₹1,078/month","₹12,933 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹10 Lac,"₹1,265/month","₹15,175 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹10 Lac,"₹1,362/month","₹16,343 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹15 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹10 Lac,"₹1,222/month","₹14,667 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹10 Lac,"₹1,075/month","₹12,897 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹10 Lac,"₹1,125/month","₹13,499 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹10 Lac,"₹1,312/month","₹15,741 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹10 Lac,"₹1,266/month","₹15,187 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹10 Lac,"₹1,316/month","₹15,788 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹10 Lac,"₹1,503/month","₹18,030 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹10 Lac,"₹1,172/month","₹14,066 / Year",98.90 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹10 Lac,₹977/month,"₹11,729 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹10 Lac,"₹1,171/month","₹14,054 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹10 Lac,"₹1,269/month","₹15,233 / Year",96 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹10 Lac,₹873/month,"₹10,475 / Year",90 % claim settlement ratio
