Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹10 Lac,"₹1,072/month","₹12,868 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹10 Lac,"₹1,101/month","₹13,213 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹10 Lac,₹984/month,"₹11,810 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹7.5 Lac,₹903/month,"₹10,834 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹7.5 Lac,₹971/month,"₹11,647 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Silver,16,₹7.5 Lac,"₹1,606/month","₹19,271 / Year",92 % claim settlement ratio
Niva Bupa,Health Pulse,16,₹7.5 Lac,₹679/month,"₹8,149 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹7 Lac,₹730/month,"₹8,764 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹7 Lac,₹792/month,"₹9,509 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹7.5 Lac,₹805/month,"₹9,655 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹7.5 Lac,₹946/month,"₹11,355 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹7.5 Lac,₹980/month,"₹11,762 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹7.5 Lac,"₹1,011/month","₹12,132 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹7.5 Lac,₹977/month,"₹11,726 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Supreme Plus,16,₹7.5 Lac,"₹1,009/month","₹12,112 / Year",94 % claim settlement ratio
Cholamandalam MS,Flexi Health Individual,16,₹7.5 Lac,₹998/month,"₹11,970 / Year",94 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹8 Lac,"₹1,119/month","₹13,428 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹7.5 Lac,₹957/month,"₹11,480 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹7.5 Lac,"₹1,426/month","₹17,109 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹7.5 Lac,₹762/month,"₹9,145 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹7.5 Lac,₹808/month,"₹9,700 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹7.5 Lac,₹986/month,"₹11,835 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹7 Lac,₹976/month,"₹11,717 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹7 Lac,₹875/month,"₹10,502 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹7.5 Lac,₹799/month,"₹9,582 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹7.5 Lac,₹845/month,"₹10,136 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹7.5 Lac,"₹1,023/month","₹12,272 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹7.5 Lac,₹941/month,"₹11,293 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹7.5 Lac,"₹1,077/month","₹12,921 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹7.5 Lac,"₹1,165/month","₹13,983 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹7 Lac,"₹1,082/month","₹12,985 / Year",98.90 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹7.5 Lac,₹807/month,"₹9,680 / Year",90 % claim settlement ratio
