Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio,Fitness_Score1,Fitness_Score2,Fitness_Score3,Fitness Score_4
Star Health,Arogya Sanjivini Individual,16,₹1 Lac,₹382/month,"₹4,578 / Year",85.80 % claim settlement ratio,87,86,85,88
Star Health,Out Patient Care Platinum,16,₹1 Lac,"₹1,236/month","₹14,827 / Year",85.80 % claim settlement ratio,56,55,54,57
Star Health,Out Patient Care Gold,16,₹1 Lac,"₹1,172/month","₹14,066 / Year",85.80 % claim settlement ratio,75,74,73,76
Star Health,Out Patient Care Silver,16,₹1 Lac,"₹1,019/month","₹12,231 / Year",85.80 % claim settlement ratio,44,43,42,45
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,67,66,65,68
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,87,86,85,88
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,34,33,32,35
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,56,55,54,57
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,98,97,96,99
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,45,44,43,46
New India Assurance,New India Mediclaim 2012,16,₹1 Lac,₹436/month,"₹5,237 / Year",98 % claim settlement ratio,69,68,67,70
New India Assurance,Aarogya sanjeevani,16,₹1 Lac,₹374/month,"₹4,490 / Year",98 % claim settlement ratio,90,89,88,91
Royal Sundaram,Lifeline Classic,15,₹2 Lac,₹615/month,"₹7,374 / Year",92 % claim settlement ratio,58,57,56,59
IFFCO Tokio,Individual Health Protector,12,₹1.5 Lac,₹413/month,"₹4,958 / Year",98.90 % claim settlement ratio,68,67,66,69
Care Health,Care Advantage with Global Coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio,90,89,88,91
Care Health,Care Advantage with Global Coverage Ex US,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio,45,44,43,46
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio,71,70,69,72
Star Health,Assure Insurance Policy,16,₹2 Cr,"₹2,272/month","₹27,263 / Year",85.80 % claim settlement ratio,81,80,79,82
Niva Bupa,Health Premia Platinum,16,₹2 Cr,"₹5,815/month","₹69,780 / Year",92 % claim settlement ratio,77,76,75,78
Aditya Birla,Activ One Max,14,₹2 Cr,"₹1,896/month","₹22,756 / Year",96 % claim settlement ratio,88,87,86,89
Aditya Birla,Active Health Platinum - Enhanced,14,₹2 Cr,"₹2,405/month","₹28,858 / Year",96 % claim settlement ratio,82,81,80,83
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio,45,44,43,46
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio,35,34,33,36
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio,50,49,48,51
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio,33,32,31,34
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio,47,46,45,48
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹2 Cr,"₹2,730/month","₹32,759 / Year",93.4 % claim settlement ratio,49,48,47,50
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹2 Cr,"₹1,411/month","₹16,930 / Year",93.4 % claim settlement ratio,65,64,63,66
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹2 Cr,"₹1,431/month","₹17,168 / Year",93.4 % claim settlement ratio,33,32,31,34
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹2 Cr,"₹1,404/month","₹16,851 / Year",93.4 % claim settlement ratio,63,62,61,64
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹2 Cr,"₹2,710/month","₹32,522 / Year",93.4 % claim settlement ratio,70,69,68,71
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹2 Cr,"₹2,704/month","₹32,442 / Year",93.4 % claim settlement ratio,68,67,66,69
Star Health,Mediclassic Individual Silver,16,₹2 Lac,₹448/month,"₹5,376 / Year",85.80 % claim settlement ratio,50,49,48,51
Star Health,Arogya Sanjivini Individual,16,₹2 Lac,₹411/month,"₹4,927 / Year",85.80 % claim settlement ratio,52,51,50,53
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,60,59,58,61
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,80,79,78,81
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,55,54,53,56
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,85,84,83,86
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,90,89,88,91
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,86,85,84,87
New India Assurance,New India Mediclaim 2012,16,₹2 Lac,₹683/month,"₹8,200 / Year",98 % claim settlement ratio,78,77,76,79
New India Assurance,Aarogya sanjeevani,16,₹2 Lac,₹517/month,"₹6,203 / Year",98 % claim settlement ratio,88,87,86,89
Royal Sundaram,Lifeline Classic,15,₹2 Lac,₹615/month,"₹7,374 / Year",92 % claim settlement ratio,40,39,38,41
IFFCO Tokio,Individual Health Protector,12,₹2 Lac,₹471/month,"₹5,646 / Year",98.90 % claim settlement ratio,100,99,98,100
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio,89,88,87,90
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio,97,96,95,98
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio,86,85,84,87
Care Health,Care Freedom,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio,89,88,87,90
Care Health,Care Heart,15,₹3 Lac,₹750/month,"₹9,000 / Year",93 % claim settlement ratio,76,75,74,77
Care Health,Care Freedom with Health Check Plus,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio,83,82,81,84
Care Health,Care with Care Shield,15,₹5 Lac,"₹1,276/month","₹15,312 / Year",93 % claim settlement ratio,75,74,73,76
Star Health,Young Star Silver,16,₹3 Lac,₹456/month,"₹5,466 / Year",85.80 % claim settlement ratio,73,72,71,74
Star Health,Young Star Gold,16,₹3 Lac,₹570/month,"₹6,839 / Year",85.80 % claim settlement ratio,75,74,73,76
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio,87,86,85,88
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio,80,79,78,81
Star Health,Mediclassic Individual Gold,16,₹3 Lac,₹661/month,"₹7,937 / Year",85.80 % claim settlement ratio,64,63,62,65
Star Health,Mediclassic Individual Silver,16,₹3 Lac,₹618/month,"₹7,419 / Year",85.80 % claim settlement ratio,89,88,87,90
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio,93,92,91,94
Star Health,Diabetes Safe Plan-A,16,₹3 Lac,"₹1,526/month","₹18,307 / Year",85.80 % claim settlement ratio,81,80,79,82
Star Health,Diabetes Safe Plan-B,16,₹3 Lac,"₹1,695/month","₹20,341 / Year",85.80 % claim settlement ratio,90,89,88,91
Star Health,Arogya Sanjivini Individual,16,₹3 Lac,₹442/month,"₹5,298 / Year",85.80 % claim settlement ratio,82,81,80,83
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio,78,77,76,79
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹5 Lac,₹912/month,"₹10,943 / Year",92 % claim settlement ratio,83,82,81,84
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹5 Lac,₹937/month,"₹11,239 / Year",92 % claim settlement ratio,66,65,64,67
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹5 Lac,₹830/month,"₹9,955 / Year",92 % claim settlement ratio,78,77,76,79
Niva Bupa,Aspire Gold + (Direct),16,₹5 Lac,₹683/month,"₹8,194 / Year",92 % claim settlement ratio,90,89,88,91
Niva Bupa,Aspire Diamond + (Direct),16,₹5 Lac,₹782/month,"₹9,383 / Year",92 % claim settlement ratio,100,99,98,100
Niva Bupa,Aspire Platinum + (Direct),16,₹5 Lac,₹843/month,"₹10,114 / Year",92 % claim settlement ratio,55,54,53,56
Niva Bupa,Aspire Titanium + (Direct),16,₹5 Lac,₹848/month,"₹10,179 / Year",92 % claim settlement ratio,62,61,60,63
Niva Bupa,Health Companion,16,₹3 Lac,₹873/month,"₹10,470 / Year",92 % claim settlement ratio,78,77,76,79
Niva Bupa,Health Companion + Safeguard,16,₹3 Lac,₹960/month,"₹11,518 / Year",92 % claim settlement ratio,61,60,59,62
Niva Bupa,Health Premia Silver,16,₹5 Lac,"₹1,413/month","₹16,953 / Year",92 % claim settlement ratio,94,93,92,95
Niva Bupa,Health Pulse,16,₹5 Lac,₹601/month,"₹7,207 / Year",92 % claim settlement ratio,52,51,50,53
Aditya Birla,Activ One Max,14,₹5 Lac,₹654/month,"₹7,846 / Year",96 % claim settlement ratio,48,47,46,49
Aditya Birla,Active Health Platinum - Enhanced,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio,78,77,76,79
ICICI Lombard,Elevate + BeFit,12,₹5 Lac,₹736/month,"₹8,832 / Year",99.80 % claim settlement ratio,93,92,91,94
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹5 Lac,₹876/month,"₹10,507 / Year",99.80 % claim settlement ratio,47,46,45,48
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹5 Lac,₹909/month,"₹10,913 / Year",99.80 % claim settlement ratio,80,79,78,81
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,₹5 Lac,"₹1,139/month","₹13,670 / Year",99.80 % claim settlement ratio,74,73,72,75
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,₹5 Lac,"₹1,105/month","₹13,263 / Year",99.80 % claim settlement ratio,69,68,67,70
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹5 Lac,₹940/month,"₹11,284 / Year",99.80 % claim settlement ratio,92,91,90,93
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹5 Lac,₹907/month,"₹10,878 / Year",99.80 % claim settlement ratio,57,56,55,58
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹5 Lac,"₹1,136/month","₹13,634 / Year",99.80 % claim settlement ratio,82,81,80,83
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹5 Lac,"₹1,170/month","₹14,040 / Year",99.80 % claim settlement ratio,98,97,96,99
Reliance,Health Gain Plus,15,₹5 Lac,₹535/month,"₹6,416 / Year",99.90 % claim settlement ratio,74,73,72,75
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,67,66,65,68
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,98,97,96,99
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,38,37,36,39
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,97,96,95,98
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,91,90,89,92
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,61,60,59,62
Cholamandalam MS,Flexi Health Individual,16,₹5 Lac,₹879/month,"₹10,550 / Year",94 % claim settlement ratio,36,35,34,37
New India Assurance,New India Mediclaim 2012,16,₹3 Lac,₹804/month,"₹9,642 / Year",98 % claim settlement ratio,78,77,76,79
New India Assurance,Aarogya sanjeevani,16,₹3 Lac,₹593/month,"₹7,120 / Year",98 % claim settlement ratio,92,91,90,93
Royal Sundaram,Lifeline Classic,15,₹3 Lac,₹707/month,"₹8,481 / Year",92 % claim settlement ratio,35,34,33,36
Royal Sundaram,Lifeline Supreme,15,₹5 Lac,₹797/month,"₹9,566 / Year",92 % claim settlement ratio,45,44,43,46
Zuno,Zuno Gold + Health 241,10,₹5 Lac,"₹1,309/month","₹15,707 / Year",95 % claim settlement ratio,64,63,62,65
Universal Sompo,A Plus Silver,20,₹5 Lac,₹613/month,"₹7,351 / Year",96 % claim settlement ratio,57,56,55,58
Universal Sompo,A Plus Gold,20,₹5 Lac,₹657/month,"₹7,882 / Year",96 % claim settlement ratio,86,85,84,87
Universal Sompo,A Plus Diamond,20,₹5 Lac,₹828/month,"₹9,936 / Year",96 % claim settlement ratio,87,86,85,88
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹6 Lac,₹866/month,"₹10,396 / Year",96 % claim settlement ratio,56,55,54,57
Universal Sompo,Complete HealthCare Insurance - Essential,20,₹4 Lac,₹708/month,"₹8,496 / Year",96 % claim settlement ratio,75,74,73,76
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹4 Lac,₹652/month,"₹7,823 / Year",96 % claim settlement ratio,44,43,42,45
Universal Sompo,A Plus Silver + Non medical items,20,₹5 Lac,₹641/month,"₹7,694 / Year",96 % claim settlement ratio,67,66,65,68
Universal Sompo,A Plus Gold + Non medical items,20,₹5 Lac,₹685/month,"₹8,225 / Year",96 % claim settlement ratio,87,86,85,88
